0.0mA_x,0.0mA_y,0.1mA_x,0.1mA_y,0.2mA_x,0.2mA_y,0.3mA_x,0.3mA_y
408.9249,  0.7980,467.2753,  1.0142,480.7407,  1.2126,480.9770,  1.7580
410.6577,  0.7973,469.2553,  1.0159,482.7778,  1.2147,483.0150,  1.7615
412.3904,  0.7966,471.2352,  1.0176,484.8148,  1.2168,485.0531,  1.7650
414.1231,  0.7959,473.2152,  1.0193,486.8519,  1.2189,487.0911,  1.7686
415.8559,  0.7952,475.1952,  1.0210,488.8889,  1.2210,489.1291,  1.7720
417.5886,  0.7945,477.1752,  1.0227,490.9259,  1.2231,491.1672,  1.7743
419.3213,  0.7938,479.1552,  1.0244,492.9630,  1.2252,493.2052,  1.7767
421.0541,  0.7930,481.1351,  1.0261,495.0000,  1.2273,495.2432,  1.7790
422.7868,  0.7923,483.1151,  1.0278,497.0370,  1.2294,497.2813,  1.7814
424.5195,  0.7916,485.0951,  1.0295,499.0741,  1.2315,499.3193,  1.7837
426.2523,  0.7909,487.0751,  1.0313,501.1111,  1.2336,501.3574,  1.7860
427.9850,  0.7902,489.0551,  1.0330,503.1481,  1.2357,503.3954,  1.7884
429.7177,  0.7895,491.0350,  1.0347,505.1852,  1.2378,505.4334,  1.7898
431.4505,  0.7888,493.0150,  1.0364,507.2222,  1.2399,507.4715,  1.7909
433.1832,  0.7881,494.9950,  1.0381,509.2593,  1.2420,509.5095,  1.7919
434.9159,  0.7874,496.9750,  1.0398,511.2963,  1.2440,511.5475,  1.7930
436.6486,  0.7867,498.9550,  1.0415,513.3333,  1.2461,513.5856,  1.7940
438.3814,  0.7859,500.9349,  1.0432,515.3704,  1.2478,515.6236,  1.7951
440.1141,  0.7852,502.9149,  1.0449,517.4074,  1.2493,517.6617,  1.7961
441.8468,  0.7845,504.8949,  1.0466,519.4444,  1.2508,519.6997,  1.7972
443.5796,  0.7838,506.8749,  1.0483,521.4815,  1.2523,521.7377,  1.7982
445.3123,  0.7831,508.8549,  1.0500,523.5185,  1.2538,523.7758,  1.7993
447.0450,  0.7824,510.8348,  1.0517,525.5556,  1.2553,525.8138,  1.8003
448.7778,  0.7817,512.8148,  1.0534,527.5926,  1.2568,527.8519,  1.8014
450.5105,  0.7810,514.7948,  1.0551,529.6296,  1.2582,529.8899,  1.8024
452.2432,  0.7803,516.7748,  1.0568,531.6667,  1.2597,531.9279,  1.8035
453.9760,  0.7796,518.7548,  1.0585,533.7037,  1.2612,533.9660,  1.8045
455.7087,  0.7788,520.7347,  1.0602,535.7407,  1.2627,536.0040,  1.8056
457.4414,  0.7781,522.7147,  1.0619,537.7778,  1.2642,538.0420,  1.8067
459.1742,  0.7774,524.6947,  1.0636,539.8148,  1.2657,540.0801,  1.8077
460.9069,  0.7767,526.6747,  1.0653,541.8519,  1.2672,542.1181,  1.8088
462.6396,  0.7760,528.6547,  1.0671,543.8889,  1.2687,544.1562,  1.8098
464.3724,  0.7753,530.6346,  1.0688,545.9259,  1.2701,546.1942,  1.8109
466.1051,  0.7746,532.6146,  1.0705,547.9630,  1.2716,548.2322,  1.8119
467.8378,  0.7739,534.5946,  1.0722,550.0000,  1.2731,550.2703,  1.8130
469.5706,  0.7732,536.5746,  1.0740,552.0370,  1.2746,552.3083,  1.8140
471.3033,  0.7725,538.5546,  1.0757,554.0741,  1.2761,554.3463,  1.8151
473.0360,  0.7717,540.5345,  1.0774,556.1111,  1.2776,556.3844,  1.8161
474.7688,  0.7710,542.5145,  1.0791,558.1481,  1.2791,558.4224,  1.8172
476.5015,  0.7703,544.4945,  1.0808,560.1852,  1.2805,560.4605,  1.8182
478.2342,  0.7696,546.4745,  1.0826,562.2222,  1.2820,562.4985,  1.8193
479.9670,  0.7689,548.4545,  1.0843,564.2593,  1.2835,564.5365,  1.8203
481.6997,  0.7682,550.4344,  1.0860,566.2963,  1.2850,566.5746,  1.8214
483.4324,  0.7675,552.4144,  1.0877,568.3333,  1.2865,568.6126,  1.8224
